#Adventurer
NVS = "countries/Nevskyder.txt" #Nyarys
SVR = "countries/Slavorrod.txt"
DHR = "countries/Dhorhammer.txt"
MMR = "countries/Mimrden.txt"
BKS = "countries/Biksted.txt"
RDR = "countries/Rodridarei.txt"


#Christian
LOD = "countries/London.txt"
ESX = "countries/Essex.txt"
SSX = "countries/Sussex.txt" #Reginorum
WSX = "countries/Wessex.txt"
DIM = "countries/u'Dimisse.txt" #Durolipons
B07 = "countries/Gallony.txt" #Formable by Gaulish countries
SSN = "countries/Soissony.txt"
SXE = "countries/Seaxe.txt"
BRY = "countries/Bretony.txt"
GMI = "countries/Garmai.txt"
SRY = "countries/Suryayta.txt"
ANB = "countries/Anbar.txt"
CRL = "countries/Coriallo.txt"
SGN = "countries/Sagien.txt"
CMA = "countries/Catema.txt"
CLR = "countries/Calarionne.txt"
LUS = "countries/Lusitania.txt"
LUG = "countries/Luguntum.txt"

#German
GTH = "countries/Gothia.txt"
AGU = "countries/Aghustids.txt" #Aghustids
OST = "countries/Ostrogothia.txt"
GEP = "countries/Gepida.txt"
RHI = "countries/Rhineland.txt"
LOM = "countries/Lombardia.txt"
# G07 = "countries/Swabia.txt" # Already Exists (SWA)
GLL = "countries/Frankia.txt"
NMR = "countries/Namur.txt"
GLA = "countries/Galagne.txt"
#G11 = "countries/Alemannia.txt" #FORMABLE UNFINISHED
GLL = "countries/Gallia.txt"
BGN = "countries/Bergheim.txt"
AVN = "countries/Avernien.txt"
VES = "countries/Vesitane.txt"
GRR = "countries/Gurrea.txt"
LBA = "countries/Alba.txt"
REU = "countries/Reutenum.txt"
TRN = "countries/Turin.txt"
G21 = "countries/Plauen.txt"
GRB = "countries/Grobizi.txt"
CEL = "countries/Celle.txt"
LEV = "countries/Leventina.txt"
HOY = "countries/Hoyaberg.txt"
RVB = "countries/Ravensburg.txt"
GRS = "countries/Grischun.txt"
WRM = "countries/Worms.txt"
ZWB = "countries/Zweinbrucken.txt"
#G30 = "countries/Obabayern.txt" #Landshut
#G31 = "countries/Niederbayern.txt" #Ingolstadt
GTG = "countries/Gottingen.txt"
KSS = "countries/Kassel.txt"
RNS = "countries/Arnsburg.txt"
ZUR = "countries/Zurich.txt"
ZAU = "countries/Zaustergards.txt"
#G38 = "countries/.txt"
#G39 = "countries/.txt"
#G3 = "countries/.txt"

#Hellenic
AMO = "countries/Armorica.txt"
THR = "countries/Thracia.txt"
RHO = "countries/Rhodos.txt"
LYC = "countries/Lycia.txt"
CAP = "countries/Cappadocia.txt"
PNT = "countries/Pontus.txt"
PPH = "countries/Paphlagonia.txt"
PGM = "countries/Pergamon.txt"
BTH = "countries/Bithynia.txt"
PHR = "countries/Phrygia.txt"
PAM = "countries/Pamphylia.txt"
ION = "countries/Ionia.txt"
AEO = "countries/Aeolis.txt"
LYD = "countries/Lydia.txt"
BMA = "countries/Brittania Major.txt"
BMI = "countries/Brittania Minor.txt"
H17 = "countries/Minortas.txt"
HLS = "countries/Hellas.txt"
TSP = "countries/Transpadana.txt"
LCN = "countries/Lucania.txt"
DOR = "countries/Dorian.txt"
CRR = "countries/Caria.txt"
SOP = "countries/Sophene.txt"
DAC = "countries/Dacia.txt"
RME = "countries/Rome.txt"
LCA = "countries/Lycaonia.txt"
PSD = "countries/Pisidia.txt"
DBR = "countries/Dubris.txt"
BSP = "countries/Bosphorus.txt"
ISA = "countries/Isauria.txt"
EMI = "countries/Emilia.txt"
H33 = "countries/Cisbardia.txt"
H34 = "countries/Transbardia.txt"
LTM = "countries/Latium.txt"
AQG = "countries/Aquigallia.txt"
NIC = "countries/Nissa.txt"
SNS = "countries/Sinusea.txt"
#H41 = "countries/Iliria.txt" #Formable by Toskouria, Geyard, and Illeropolis
#H42 = "countries/Romascia.txt" #Znovuzaty formable
#H43 = "countries/Arberteke.txt" #Arbërteke formable by Faynitia
BRO = "countries/Bretona.txt"
AEM = "countries/Aemilia.txt"

#Iberian/Celtic
CNT = "countries/Cantabria.txt"
ASU = "countries/Asturias.txt"
VCC = "countries/Vaccaeia.txt"
VTT = "countries/Vettonia.txt"
TRD = "countries/Turduli.txt"
IBE = "countries/Iberia.txt"
INT = "countries/Intercacia.txt"
CRD = "countries/Cordoba.txt"
TLD = "countries/Tawlidu.txt"
LMR = "countries/Almoravid.txt" #Formable if last big Almoravid dynasty
CIT = "countries/Citerior.txt" #Formable as vassal or by Intercacia/Gurrea
AYI = "countries/Aybirea.txt"
NOD = "countries/Nodensia.txt"
AOP = "countries/AltOpaere.txt"
URT = "countries/Uerteru.txt"
GWY = "countries/Gwynedd.txt"
PWS = "countries/Powys.txt"
DEH = "countries/Deheubarth.txt"
YST = "countries/Ystrad Tywi.txt"
#NOD = "countries/Hispania.txt"

#India
COA = "countries/Chola.txt"
HYS = "countries/Hoysala.txt" #Belur
DCC = "countries/Deccan.txt" #Three dynasties
KHS = "countries/Khashayara.txt" #Central Doab
CNC = "countries/Carnatic.txt"
BHP = "countries/Bhupala.txt" #Bhupal Gondi Kingdom
AAD = "countries/Aadeynaga.txt" #518 Chittor
AVY = "countries/Avyamani.txt" #4433 Nasik
KUM = "countries/Kauma.txt"
MIS = "countries/Misyhyan.txt"

#Mesoamerican
MEC = "countries/Mecatec.txt"
ILH = "countries/Ilhuitol.txt"
PLI = "countries/Polimaito.txt"
EHI = "countries/Ehitloh.txt"
ZIT = "countries/Zityaro.txt"
HUT = "countries/Huetecas.txt"
QUA = "countries/Quatpalec.txt"
QAQ = "countries/Qaqarnaq.txt"
LOL = "countries/Lotlmetl.txt"
TLS = "countries/Tlices.txt"
PEP = "countries/Pepolixoata.txt"
TLH = "countries/Tlahtocoatl.txt" #Serpent Kingdom, formable tag
ATY = "countries/Atyolotli.txt" #Waterheart, mouth of Louisiana
COT = "countries/Coatyolotli.txt" #Serpentheart, south tip of Illinois
OMH = "countries/Omaha.txt" #Omaha Sioux
ATO = "countries/Atollico.txt" #Place of corn drinks, artisan drink city
MCX = "countries/Micaxihuayan.txt" #North Refuge
COZ = "countries/Cozamoltlan.txt" #Between-Rainbow
TLT = "countries/Tlalteptl.txt" #City of Nobles
CMX = "countries/Camaxtlan.txt"
COY = "countries/Coyotlatl.txt" #Sea Coyote
